Cropping Layer,Metric,2017-2020,2022-2025
Single Kharif,Number of Hotspot Clusters,94,87
Single Non-Kharif,Number of Hotspot Clusters,23,72
Double Cropping,Number of Hotspot Clusters,80,20
Triple Cropping,Number of Hotspot Clusters,48,43
