Cropping Layer,Metric,2017-2020,2022-2025
Single Kharif,Number of Hotspot Clusters,24,12
Single Non-Kharif,Number of Hotspot Clusters,7,21
Double Cropping,Number of Hotspot Clusters,10,7
Triple Cropping,Number of Hotspot Clusters,9,7
