Years,Crop intensity,single cropping %,Double cropping %,Tripple cropping %
2017-18,1.16,84.3,15.5,0.2
2018-19,1.215,78.9,20.7,0.4
2019-20,1.425,58.6,40.3,1.1
2020-21,1.29,72.2,26.7,1.2
2021-22,1.385,62.0,37.5,0.5
2022-23,1.383,63.4,34.9,1.7
2023-24,1.41,59.7,39.6,0.7
2024-25,1.33,71.2,24.6,4.2
