Years,Crop intensity,single cropping %,Double cropping %,Tripple cropping %
2017-18,1.284,72.4,26.7,0.9
2018-19,1.159,85.4,13.3,1.3
2019-20,1.58,45.7,50.6,3.7
2020-21,1.489,53.7,43.6,2.6
2021-22,1.604,43.1,53.4,3.5
2022-23,1.48,59.9,32.1,8.0
2023-24,1.43,58.8,39.3,1.8
2024-25,1.596,47.3,45.7,6.9
