Years,Crop intensity,single cropping %,Double cropping %,Tripple cropping %
2017-18,1.472,62.4,28.0,9.6
2018-19,1.336,72.7,20.9,6.4
2019-20,1.573,57.9,26.9,15.2
2020-21,1.614,49.2,40.2,10.6
2021-22,1.507,54.6,40.2,5.3
2022-23,1.48,66.4,19.2,14.4
2023-24,1.373,72.2,18.4,9.5
2024-25,1.588,52.0,37.2,10.8
