Years,Crop intensity,single cropping %,Double cropping %,Tripple cropping %
2017-18,1.407,60.5,38.3,1.2
2018-19,1.304,70.2,29.2,0.6
2019-20,1.734,29.6,67.4,3.0
2020-21,1.499,53.5,43.2,3.4
2021-22,1.536,47.7,51.0,1.3
2022-23,1.525,50.2,47.0,2.7
2023-24,1.607,40.9,57.4,1.6
2024-25,1.461,56.8,40.4,2.8
