Years,Crop intensity,single cropping %,Double cropping %,Tripple cropping %
2017-18,1.407,61.5,36.2,2.2
2018-19,1.112,89.6,9.6,0.8
2019-20,1.635,41.4,53.8,4.8
2020-21,1.561,49.7,44.5,5.8
2021-22,1.539,48.6,48.8,2.5
2022-23,1.532,55.7,35.4,8.9
2023-24,1.377,64.8,32.8,2.4
2024-25,1.604,45.2,49.1,5.6
