Years,Crop intensity,single cropping %,Double cropping %,Tripple cropping %
2017-18,1.543,49.3,47.2,3.5
2018-19,1.604,42.9,53.7,3.3
2019-20,1.871,20.3,72.2,7.4
2020-21,1.572,49.6,43.7,6.8
2021-22,1.794,28.9,62.7,8.4
2022-23,1.392,65.6,29.7,4.8
2023-24,1.441,59.8,36.3,3.9
2024-25,1.876,31.0,50.4,18.6
