Years,Crop intensity,single cropping %,Double cropping %,Tripple cropping %
2017-18,1.262,75.4,22.9,1.7
2018-19,1.204,81.9,15.7,2.3
2019-20,1.471,55.8,41.3,2.9
2020-21,1.37,66.3,30.5,3.2
2021-22,1.41,60.9,37.3,1.9
2022-23,1.379,65.9,30.4,3.7
2023-24,1.493,53.7,43.2,3.1
2024-25,1.376,68.1,26.2,5.7
