Years,Crop intensity,single cropping %,Double cropping %,Tripple cropping %
2017-18,1.394,68.4,23.8,7.8
2018-19,1.407,72.3,14.7,13.0
2019-20,1.704,52.7,24.2,23.1
2020-21,1.591,61.8,17.4,20.8
2021-22,1.368,68.5,26.3,5.3
2022-23,1.097,94.7,1.0,4.3
2023-24,1.388,76.0,9.1,14.9
2024-25,1.804,48.6,22.5,28.9
