Years,Crop intensity,single cropping %,Double cropping %,Tripple cropping %
2017-18,1.323,68.2,31.2,0.5
2018-19,1.326,68.4,30.6,1.0
2019-20,1.617,40.3,57.6,2.1
2020-21,1.512,52.3,44.2,3.5
2021-22,1.534,48.2,50.1,1.7
2022-23,1.546,50.5,44.4,5.1
2023-24,1.643,39.6,56.6,3.8
2024-25,1.586,49.6,42.3,8.2
