Years,Crop intensity,single cropping %,Double cropping %,Tripple cropping %
2017-18,1.246,75.9,23.6,0.5
2018-19,1.209,79.5,20.1,0.4
2019-20,1.559,45.5,53.2,1.3
2020-21,1.28,73.1,25.7,1.2
2021-22,1.317,68.5,31.2,0.3
2022-23,1.343,66.9,32.0,1.2
2023-24,1.308,69.9,29.5,0.6
2024-25,1.413,60.6,37.4,2.0
