Years,Crop intensity,single cropping %,Double cropping %,Tripple cropping %
2017-18,1.489,51.7,47.7,0.6
2018-19,1.48,53.8,44.5,1.8
2019-20,1.998,10.8,78.7,10.6
2020-21,1.815,27.2,64.1,8.7
2021-22,1.636,37.7,60.9,1.4
2022-23,1.871,19.0,74.8,6.2
2023-24,1.811,20.7,77.6,1.8
2024-25,1.682,35.8,60.2,4.0
