Years,Crop intensity,single cropping %,Double cropping %,Tripple cropping %
2017-18,1.959,23.3,57.6,19.1
2018-19,2.092,19.0,52.8,28.2
2019-20,2.104,17.9,53.8,28.3
2020-21,1.969,25.8,51.5,22.7
2021-22,1.902,29.8,50.2,20.0
2022-23,1.675,57.1,18.3,24.6
2023-24,1.872,37.7,37.4,24.9
2024-25,2.028,19.3,58.6,22.1
