Years,Crop intensity,single cropping %,Double cropping %,Tripple cropping %
2017-18,1.538,53.8,38.6,7.6
2018-19,1.369,68.8,25.4,5.8
2019-20,1.712,42.9,43.0,14.1
2020-21,1.692,42.4,45.9,11.6
2021-22,1.599,46.7,46.8,6.6
2022-23,1.619,53.6,31.0,15.4
2023-24,1.48,62.0,28.0,10.0
2024-25,1.592,49.3,42.1,8.5
