Years,Crop intensity,single cropping %,Double cropping %,Tripple cropping %
2017-18,1.398,61.4,37.4,1.2
2018-19,1.285,72.5,26.4,1.0
2019-20,1.696,32.9,64.6,2.5
2020-21,1.553,48.4,48.0,3.6
2021-22,1.523,49.2,49.3,1.5
2022-23,1.684,36.7,58.1,5.1
2023-24,1.681,34.4,63.1,2.5
2024-25,1.633,43.9,49.0,7.2
