Years,Crop intensity,single cropping %,Double cropping %,Tripple cropping %
2017-18,1.982,16.9,67.9,15.1
2018-19,2.229,13.1,50.9,36.0
2019-20,2.223,13.5,50.7,35.8
2020-21,2.196,13.9,52.6,33.5
2021-22,1.898,28.8,52.6,18.6
2022-23,1.681,52.4,27.1,20.5
2023-24,1.884,32.0,47.6,20.4
2024-25,2.347,16.8,31.7,51.5
