Years,Crop intensity,single cropping %,Double cropping %,Tripple cropping %
2017-18,1.235,77.0,22.4,0.5
2018-19,1.307,69.9,29.6,0.6
2019-20,1.718,31.1,65.9,2.9
2020-21,1.308,71.5,26.2,2.3
2021-22,1.418,58.6,40.9,0.5
2022-23,1.438,59.5,37.3,3.3
2023-24,1.356,65.2,34.0,0.8
2024-25,1.447,58.6,38.2,3.3
