Years,Crop intensity,single cropping %,Double cropping %,Tripple cropping %
2017-18,1.418,61.1,36.1,2.9
2018-19,1.197,80.7,18.9,0.4
2019-20,1.542,47.9,50.0,2.1
2020-21,1.578,45.7,50.8,3.5
2021-22,1.534,48.0,50.6,1.4
2022-23,1.646,43.3,48.9,7.8
2023-24,1.318,69.0,30.2,0.8
2024-25,1.586,47.9,45.6,6.5
