Years,Crop intensity,single cropping %,Double cropping %,Tripple cropping %
2017-18,1.306,71.7,26.0,2.3
2018-19,1.262,76.6,20.6,2.8
2019-20,1.778,31.5,59.3,9.3
2020-21,1.494,54.9,40.8,4.3
2021-22,1.681,38.7,54.4,6.9
2022-23,1.565,48.4,46.7,4.9
2023-24,1.547,49.4,46.4,4.2
2024-25,1.714,39.3,50.0,10.7
