Years,Crop intensity,single cropping %,Double cropping %,Tripple cropping %
2017-18,1.543,50.2,45.3,4.5
2018-19,1.652,40.0,54.8,5.2
2019-20,2.086,7.1,77.2,15.7
2020-21,1.865,26.3,60.9,12.8
2021-22,1.739,32.3,61.4,6.3
2022-23,1.984,15.6,70.4,14.0
2023-24,1.864,21.0,71.5,7.5
2024-25,1.81,31.9,55.1,13.0
