Years,Crop intensity,single cropping %,Double cropping %,Tripple cropping %
2017-18,1.116,88.7,11.0,0.3
2018-19,1.234,77.1,22.4,0.5
2019-20,1.509,51.0,47.1,1.9
2020-21,1.242,77.3,21.2,1.5
2021-22,1.287,71.7,27.9,0.4
2022-23,1.437,59.7,36.8,3.4
2023-24,1.456,55.6,43.2,1.2
2024-25,1.367,67.5,28.4,4.1
