Years,Crop intensity,single cropping %,Double cropping %,Tripple cropping %
2017-18,1.53,50.7,45.7,3.6
2018-19,1.387,66.5,28.3,5.2
2019-20,1.726,34.6,58.3,7.1
2020-21,1.624,45.0,47.6,7.4
2021-22,1.623,41.2,55.2,3.5
2022-23,1.494,56.1,38.4,5.5
2023-24,1.379,66.5,29.1,4.4
2024-25,1.721,38.0,51.8,10.1
