Years,Crop intensity,single cropping %,Double cropping %,Tripple cropping %
2017-18,1.991,19.9,61.1,19.0
2018-19,1.919,34.1,40.0,25.9
2019-20,2.127,17.8,51.6,30.5
2020-21,1.807,39.1,41.1,19.8
2021-22,1.756,41.3,41.8,16.9
2022-23,1.647,55.3,24.7,20.0
2023-24,1.739,45.7,34.8,19.6
2024-25,2.135,18.6,49.3,32.1
