Years,Crop intensity,single cropping %,Double cropping %,Tripple cropping %
2017-18,1.719,43.0,42.1,14.9
2018-19,1.455,60.8,32.9,6.3
2019-20,1.799,33.1,53.9,13.0
2020-21,1.565,55.7,32.1,12.2
2021-22,1.425,61.5,34.5,4.0
2022-23,1.296,75.7,19.0,5.3
2023-24,1.365,70.5,22.5,7.0
2024-25,1.693,47.0,36.7,16.3
