Years,Crop intensity,single cropping %,Double cropping %,Tripple cropping %
2017-18,1.164,83.7,16.3,0.0
2018-19,1.263,74.0,25.7,0.3
2019-20,1.42,58.9,40.2,0.9
2020-21,1.302,70.9,28.0,1.1
2021-22,1.392,61.1,38.5,0.4
2022-23,1.36,66.0,32.0,2.0
2023-24,1.487,52.6,46.1,1.3
2024-25,1.389,66.1,29.0,5.0
