Rank,From,To,Area (Acres),% of Changes,% of Total Area
1,Double Cropping,Single Kharif,"1,860",48.0%,18.7%
2,Single Kharif,Double Cropping,668,17.2%,6.7%
3,Triple Cropping,Single Kharif,407,10.5%,4.1%
4,Double Cropping,Triple Cropping,319,8.2%,3.2%
5,Triple Cropping,Double Cropping,192,5.0%,1.9%
