Rank,From,To,Area (Acres),% of Changes,% of Total Area
1,Single Kharif,Double Cropping,"18,788",72.6%,23.6%
2,Double Cropping,Single Kharif,"3,888",15.0%,4.9%
3,Double Cropping,Triple Cropping,"1,242",4.8%,1.6%
4,Triple Cropping,Double Cropping,879,3.4%,1.1%
5,Single Kharif,Triple Cropping,467,1.8%,0.6%
