Rank,From,To,Area (Acres),% of Changes,% of Total Area
1,Single Kharif,Double Cropping,"18,589",48.7%,13.6%
2,Double Cropping,Single Kharif,"16,277",42.6%,11.9%
3,Single Kharif,Single Non-Kharif,"1,463",3.8%,1.1%
4,Double Cropping,Triple Cropping,675,1.8%,0.5%
5,Double Cropping,Single Non-Kharif,583,1.5%,0.4%
