Rank,From,To,Area (Acres),% of Changes,% of Total Area
1,Single Kharif,Double Cropping,"36,833",59.3%,20.2%
2,Double Cropping,Single Kharif,"16,990",27.3%,9.3%
3,Single Kharif,Single Non-Kharif,"2,417",3.9%,1.3%
4,Double Cropping,Triple Cropping,"2,323",3.7%,1.3%
5,Single Kharif,Triple Cropping,"2,085",3.4%,1.1%
