Rank,From,To,Area (Acres),% of Changes,% of Total Area
1,Double Cropping,Single Kharif,"4,204",67.0%,25.5%
2,Single Kharif,Double Cropping,815,13.0%,4.9%
3,Single Kharif,Single Non-Kharif,653,10.4%,4.0%
4,Double Cropping,Triple Cropping,173,2.8%,1.1%
5,Double Cropping,Single Non-Kharif,163,2.6%,1.0%
