Rank,From,To,Area (Acres),% of Changes,% of Total Area
1,Single Kharif,Double Cropping,"27,091",31.0%,11.8%
2,Double Cropping,Single Kharif,"23,249",26.6%,10.1%
3,Single Kharif,Single Non-Kharif,"12,898",14.8%,5.6%
4,Double Cropping,Triple Cropping,"8,579",9.8%,3.7%
5,Triple Cropping,Double Cropping,"4,221",4.8%,1.8%
