Rank,From,To,Area (Acres),% of Changes,% of Total Area
1,Single Kharif,Single Non-Kharif,4,47.8%,21.5%
2,Double Cropping,Single Kharif,2,23.9%,10.8%
3,Triple Cropping,Single Kharif,1,10.5%,4.7%
4,Double Cropping,Single Non-Kharif,0,4.3%,1.9%
5,Single Kharif,Triple Cropping,0,3.8%,1.7%
