Rank,From,To,Area (Acres),% of Changes,% of Total Area
1,Single Kharif,Single Non-Kharif,38,64.2%,30.9%
2,Double Cropping,Single Kharif,10,17.1%,8.2%
3,Single Kharif,Double Cropping,3,4.6%,2.2%
4,Triple Cropping,Single Kharif,2,4.0%,1.9%
5,Double Cropping,Single Non-Kharif,2,3.6%,1.7%
