Rank,From,To,Area (Acres),% of Changes,% of Total Area
1,Double Cropping,Single Kharif,"3,367",60.4%,19.6%
2,Single Kharif,Double Cropping,874,15.7%,5.1%
3,Single Kharif,Single Non-Kharif,670,12.0%,3.9%
4,Triple Cropping,Single Kharif,258,4.6%,1.5%
5,Double Cropping,Triple Cropping,163,2.9%,0.9%
