Rank,From,To,Area (Acres),% of Changes,% of Total Area
1,Double Cropping,Single Kharif,"24,506",35.8%,12.4%
2,Single Kharif,Double Cropping,"19,781",28.9%,10.0%
3,Single Kharif,Single Non-Kharif,"10,500",15.4%,5.3%
4,Double Cropping,Single Non-Kharif,"5,851",8.6%,3.0%
5,Double Cropping,Triple Cropping,"3,583",5.2%,1.8%
