Rank,From,To,Area (Acres),% of Changes,% of Total Area
1,Single Kharif,Double Cropping,"34,787",65.9%,22.3%
2,Double Cropping,Single Kharif,"11,299",21.4%,7.3%
3,Single Kharif,Single Non-Kharif,"2,524",4.8%,1.6%
4,Double Cropping,Triple Cropping,"1,581",3.0%,1.0%
5,Single Kharif,Triple Cropping,"1,298",2.5%,0.8%
