Rank,From,To,Area (Acres),% of Changes,% of Total Area
1,Double Cropping,Single Kharif,"15,370",59.7%,23.8%
2,Single Kharif,Double Cropping,"6,163",24.0%,9.5%
3,Double Cropping,Single Non-Kharif,"1,514",5.9%,2.3%
4,Single Kharif,Single Non-Kharif,"1,353",5.3%,2.1%
5,Double Cropping,Triple Cropping,636,2.5%,1.0%
