Rank,From,To,Area (Acres),% of Changes,% of Total Area
1,Single Kharif,Double Cropping,"48,814",78.1%,28.3%
2,Double Cropping,Single Kharif,"8,635",13.8%,5.0%
3,Double Cropping,Triple Cropping,"1,441",2.3%,0.8%
4,Single Kharif,Single Non-Kharif,"1,171",1.9%,0.7%
5,Triple Cropping,Double Cropping,"1,058",1.7%,0.6%
