Rank,From,To,Area (Acres),% of Changes,% of Total Area
1,Single Kharif,Double Cropping,"26,661",63.8%,19.8%
2,Double Cropping,Single Kharif,"11,977",28.7%,8.9%
3,Double Cropping,Triple Cropping,"1,279",3.1%,1.0%
4,Single Kharif,Triple Cropping,938,2.2%,0.7%
5,Single Kharif,Single Non-Kharif,265,0.6%,0.2%
