Rank,From,To,Area (Acres),% of Changes,% of Total Area
1,Double Cropping,Single Kharif,"12,747",31.0%,14.2%
2,Single Kharif,Single Non-Kharif,"8,406",20.4%,9.4%
3,Single Kharif,Double Cropping,"6,909",16.8%,7.7%
4,Double Cropping,Triple Cropping,"4,373",10.6%,4.9%
5,Double Cropping,Single Non-Kharif,"2,179",5.3%,2.4%
