Rank,From,To,Area (Acres),% of Changes,% of Total Area
1,Single Kharif,Double Cropping,"31,382",64.8%,17.4%
2,Double Cropping,Single Kharif,"13,288",27.4%,7.3%
3,Double Cropping,Triple Cropping,"1,511",3.1%,0.8%
4,Single Kharif,Triple Cropping,790,1.6%,0.4%
5,Single Kharif,Single Non-Kharif,657,1.4%,0.4%
